comment,sentiment_score
格式错了,0.538575698
帅炸了,0.937984631
第一张图片是啥,0.419485039
书好看吗？,0.787041697
大麦?,0.555682225
这哥的腿啊呜呜呜呜,0.62889867
互评互评互评互评,0.001794953
我已经看了不下二十遍,0.382395138
互评，加油,0.655835428
哥哥巨温柔,0.956115913
来了和陈赫,0.5
姐妹你可以打探一下,0.782665336
有狗骂你回复我，我插个眼,0.140852059
人心中的成见是一座大山啊，鹿晗付出了多少努力我们都是看的到的，说实话喜欢他四年了当初甜蜜暴击的时候我是真的撑着看下去了，但在上海堡垒哥哥真的超棒！希望那些人不要把锅甩给鹿晗,0.999999911
我给我自己up,0.526232782
我有史以来进电影院看的最难看的电影这部成功上榜,0.28116992
不是对演员有成见而是这部电影没有主线主要想讲的东西没讲出来只看到一堆人打打打然后主角光环出现完成了配音对不上嘴型作为军人男主的刘海女主的披肩发都是影响战斗的只不过鹿晗属于流量被剧组推出来顶锅罢了整部电影垃圾,0.960779231
只是个建议哦因为具体的情况还是不知道呢,0.138183762
真的太难看了，浪费时间浪费钱,0.002520939
还有拿枪的姿势，还有体型，肌肉。,0.879478652
走起,0.582629674
就事论事，不说电影拍的如何，就私自盗用别人劳动成果，我就要吐口唾沫,0.895392177
“大家好我是鹿晗”这七个字我记了七年四个月零二十九天,0.786908453
楼主顶住，很快要有舔狗来喷你了,0.027091477
踩踩,0.5
下午好呀，周一来互评呀,0.241357351
必须要说，这个电影不行和江南关系不大，毕竟我本身就是原著党，这个电影只是很实力的告诉我们，流量不代表一切,0.977228801
他说过：“要善良三观要正不忘初心”,0.904928675
我就是不会写r！mua的！！！！,0.135131616
这部电影好不好看,0.933643112
连解说我都看不下去,0.301278316
回复为图片,0.19113262
小声逼逼：太久没写字，真的飘的厉害，得多练练了,0.77673758
Hi~您好，您发布的文章已被创建同名问题，文章内容被收录为回答。此问题将会吸引更多用户参与讨论，您的文章也会被更多网友看到，带来更高曝光和互动量~戳→→,0.984629554
up,0.526232782
加油互评,0.655835428
鹿晗他一直都是很值得的！,0.835133681
呜呜呜第一次见到女a男o,0.38310777
卧槽，还有夜店的戏份啊？心真他妈大，我只看了开头就看不下去了,0.844430753
呜呜呜晗晗姐姐也是alpha快看姐姐,0.947978257
