,smiles,similarity
0,COc1cccc(/C=C/c2cccc(C)n2)c1,1.0000000000000004
97,O=C(O)c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C(=O)O)cc3)cc2)cc1,0.3464908732878587
28,COC(=O)c1coc(C)n1,0.3147221938524843
77,COC(=O)c1ccc2cccc(OC)c2n1,0.3003036513126364
36,CC(C)c1ccc(C(=O)NCCCC(=O)O)cc1,0.28524362474321613
69,CSc1ccc(-c2ccccc2N)cc1,0.28118658493016196
1,CCCCN(CCCC)C(=O)/C=C/c1ccccc1,0.27384784142312835
44,COc1cccc(C(=O)Nc2ccc(NC(C)=O)cc2)c1,0.2669571426517309
35,COc1ccc(C(=O)NC(C)(C)CC(C)(C)C)cc1,0.2566484679097909
20,O=C(Nc1ccc(Cl)cc1[N+](=O)[O-])C(Cl)(Cl)Cl,0.2544618560632948
10,COc1ccc(S(=O)(=O)CCNC(=O)Cn2cc(OC)c(=O)cc2C)cc1,0.25079428539619913
78,COc1ccc2[nH]c(C)c(C(=O)CN3C[CH](C)O[CH](C)C3)c2c1,0.2382478158258929
32,C/C(=N/NC(=N)N)c1ccc2c(c1)Cc1cc(/C(C)=N/NC(=N)N)ccc1-2,0.23195841867353692
75,COc1ccc(/C=N/NC(=O)c2ccc3c(c2)OCO3)cc1OC,0.2318097247049834
80,COC(=O)C1=CNC=C(C(=O)OC)C1c1ccc(Cl)c(Cl)c1,0.23169315375223118
34,CCOC(=O)[CH](C)Cc1ccc(C)cc1,0.22931453307339306
92,COc1ccc(OC)c(/C=C\C(=O)c2cnn(C)c2)c1,0.21967285247289897
5,CCCC[CH](NCc1ccccc1)C(=O)O,0.21918610517135567
60,O=C(Cn1cccc1)c1ccc(Cl)cc1,0.21894666531298454
70,O=C(Oc1cccc(-n2cnnn2)c1)C1CCCCC1,0.215213618730485
87,COc1ccc(C(=O)C2=C(O)C(=O)N(C)[CH]2c2ccccc2)cc1,0.204977413724311
83,CCC[CH](NC(=O)[CH](C)NC(=O)OCc1ccccc1)C(=O)O,0.19684431147667789
85,CCn1cc(/C=C2/Oc3c(ccc(OC(=O)c4ccccc4F)c3C)C2=O)c2cc(OC)ccc21,0.1901496597061835
68,COc1c(Cl)cc(O)cc1Cl,0.18963128918968297
26,CCNC(=O)Cn1c(=O)[nH]c2ccccc2c1=O,0.18633653161136898
90,COc1ccccc1-c1coc2c(CN3CCN(CCO)CC3)c(O)ccc2c1=O,0.1849027837939405
81,N[CH](CC(=O)O)Cc1c(Cl)cccc1Cl,0.18461262645475346
71,COc1ccc(/C=C/C(=O)NCCC2CC2)cc1O,0.1806793077767731
93,O=C(NCc1cccnc1)c1cc(=O)[nH]c2ccccc12,0.18054854498964476
46,Cc1cc2nc3c(=O)[nH]c(O)nc3nc2cc1N,0.17815558779568852
12,CC(C)[CH](NS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)NC(C)(C)C,0.17814668178644735
65,S=C(/C(=C/N1CCOCC1)c1ccccc1)N1CCOCC1,0.17810371936352815
19,COc1ccccc1NC(=O)Nc1cc([N+](=O)[O-])ccc1OC,0.17705630591346722
67,Nc1ccc(Br)cc1Cl,0.17697017330705997
56,CC(=O)N(C)c1ccc2c(c1)C(=O)c1ccccc1-2,0.17381277349005647
48,COc1ccc(CNC(=O)C(=O)Nc2cc(C)nc3ccccc23)cc1,0.1677186320445248
94,CC(=O)c1nn(-c2cccc(C(F)(F)F)c2)c(=N)s1,0.16258526800103482
96,COc1ccccc1C[CH]1C(=O)Nc2ccccc21,0.16076056949265813
25,COc1cccc(N(C)S(=O)(=O)c2ccc(C)cc2)c1,0.15982425009110998
53,CCOc1ccc(C(=O)c2ccccc2)cn1,0.15691686290591353
41,CC(C)c1ccc(COC(=O)/C=C\C(=O)NC(N)=O)cc1,0.15417322439234152
37,COc1ccc2[nH]cc(CC#N)c2c1,0.15241091511371394
55,CCCN(CCC)C(=O)Nc1ccc(C)c([N+](=O)[O-])c1,0.15211438090359192
64,Cc1ccc(NC(=O)CCCC[CH]2[CH]3NC(=O)N[CH]3CS2(=O)=O)cc1,0.1516566458036857
17,N[CH](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)O,0.15161273030208786
39,COc1cccc(C(=O)Oc2ccc3c(c2)O/C(=C\c2cccs2)C3=O)c1,0.1514145844395846
82,CN(C)CCNC(=O)c1cccc2nc3c4ccccc4c4ccccc4c3nc12,0.14543324573909108
57,CC(=O)c1ccc(F)cc1C,0.14360534408213468
42,CNC(=O)c1cn(-c2ccc(Cl)cc2)c(=O)c2ccccc12,0.1394414033279058
16,CSCC[CH](NC(=O)[CH](Cc1c[nH]c2ccccc12)n1c(=O)[nH]c2ccccc2c1=O)C(=O)O,0.13729929156768306
3,O=C(Oc1ccc(-c2ccc(O)cc2)cc1)c1ccccc1,0.13599341447465127
2,COc1ccc(-c2cc3ccc4c(c3oc2=O)CN(Cc2ccccn2)CO4)cc1OC,0.13583171298025487
